pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
2.596371,-22.855,45.0,top,C10,,,C_0201_0603Metric,100n,smt
3.096371,-23.355,45.0,top,C11,,,C_0201_0603Metric,1uF,smt
3.596371,-23.855,45.0,top,C12,,,C_0201_0603Metric,10uF,smt
4.096371,-24.355,45.0,top,C13,,,C_0201_0603Metric,10uF,smt
11.447645,-17.955,45.0,top,C14,,,C_0201_0603Metric,100n,smt
11.942622,-18.449977,45.0,top,C15,,,C_0201_0603Metric,1uF,smt
0.99986,-17.149632,135.0,top,C16,,,C_0201_0603Metric,100n,smt
8.346371,-23.98,-45.0,top,C17,,,C_0201_0603Metric,100n,smt
7.891346,-14.399975,-135.0,top,C18,,,C_0201_0603Metric,11u,smt
9.476042,-7.513858,45.0,bottom,C2,,,C_0201_0603Metric,0.1 uF,smt
4.096371,-15.055,45.0,top,C20,,,C_0201_0603Metric,100n,smt
8.844619,-23.480422,-45.0,top,C21,,,C_0201_0603Metric,10uF,smt
2.840355,-37.642927,180.0,top,C22,,,C_0201_0603Metric,1uF,smt
2.840353,-35.322929,0.0,top,C23,,,C_0201_0603Metric,1uF,smt
2.357421,-10.530041,-45.0,bottom,C3,,,C_0201_0603Metric,0.1 uF,smt
5.23,-26.61,135.0,bottom,C4,,,C_0201_0603Metric,0.1 uF,smt
2.930274,-31.913274,135.0,bottom,C5,,,C_0201_0603Metric,0.1 uF,smt
9.34,-34.66,135.0,bottom,C6,,,C_0201_0603Metric,0.1 uF,smt
1.480254,-15.24495,135.0,top,C7,,,C_0201_0603Metric,10 pF,smt
4.196371,-12.555,-45.0,top,C8,,,C_0201_0603Metric,10 pF,smt
1.596371,-21.855,-135.0,top,C9,,,C_0201_0603Metric,100n,smt
2.096371,-22.355,45.0,top,L1,,,L_0201_0603Metric,2.0 nH (500mA),smt
1.494832,-16.65466,135.0,top,L2,,,L_0201_0603Metric,24 nH,smt
0.89,-21.15,-135.0,top,R1,,,R_0201_0603Metric,5k,smt
1.26,-29.785,90.0,top,R2,,,R_0201_0603Metric,5k,smt
7.396371,-13.905,45.0,top,R4,,,R_0201_0603Metric,4m,smt
8.396371,-14.905,-135.0,top,R5,,,R_0201_0603Metric,10k,smt
1.25,-26.835,90.0,bottom,R6,,,R_0201_0603Metric,Short Pad,smt
1.25,-25.28,90.0,bottom,R7,,,R_0201_0603Metric,Short Pad,smt
6.025,-19.418629,45.0,top,U1,,,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_1,ESP32-S3,smt
11.79542,-16.891916,-135.0,top,U10,,,AT25XE321D-UUN-T,AT25XE321D-UUN-T,smt
10.006042,-9.273858,-45.0,bottom,U2,,,19-C47&slash_RSGHBHC-5V01&slash_2T_EVE,19-C47/RSGHBHC-5V01/2T,smt
3.731379,-9.523899,45.0,bottom,U3,,,19-C47&slash_RSGHBHC-5V01&slash_2T_EVE,19-C47/RSGHBHC-5V01/2T,smt
7.146142,-26.056042,45.0,bottom,U4,,,19-C47&slash_RSGHBHC-5V01&slash_2T_EVE,19-C47/RSGHBHC-5V01/2T,smt
3.949899,-30.604622,135.0,bottom,U5,,,19-C47&slash_RSGHBHC-5V01&slash_2T_EVE,19-C47/RSGHBHC-5V01/2T,smt
10.79,-33.57,135.0,bottom,U6,,,19-C47&slash_RSGHBHC-5V01&slash_2T_EVE,19-C47/RSGHBHC-5V01/2T,smt
6.5025,-38.27,90.0,bottom,U7,,,SOT-666,USBLC6-2SC6,smt
2.825,-36.49,-90.0,top,U9,,,SUP_TPS3831L30DQNR,TLV77333PDQNR,smt
2.796371,-13.855,-135.0,top,Y1,FW400WFMR1DKR-ND or FW400WFMR1CT-ND ,,XTAL_FW400WFMR1,40MHz (±10ppm),smt
